Solution,Round,Image Quality,Gender Fitness,Ethnicity Fitness,Duration,CPU Energy,GPU Energy
"{'denoising_steps': 27, 'guidance_scale': 18, 'positive_prompt': [693, 754, 37], 'negative_prompt': [8038, 777, 252], 'weight': 0, 'seed': 402}",round_6,0.5857575757575756, 0.10000000000000003, 0.391304347826087,17.773778676986694,0.0001067777659777,0.0006567377476121
"{'denoising_steps': 32, 'guidance_scale': 6, 'positive_prompt': [1903, 1625, 126], 'negative_prompt': [4546, 911, 117], 'weight': 0, 'seed': 87}",round_3,0.7935000000000001, 0.30000000000000004, 0.4130434782608696,17.759979248046875,0.0001070220928398,0.000657318025854
"{'denoising_steps': 47, 'guidance_scale': 14, 'positive_prompt': [1479, 535, 13], 'negative_prompt': [398, 612, 77], 'weight': 7, 'seed': 100}",round_3,0.7815, 0.10000000000000003, 0.8,17.775535821914673,0.0001070503214735,0.0006608677509158
"{'denoising_steps': 45, 'guidance_scale': 6, 'positive_prompt': [1799, 1633, 71], 'negative_prompt': [4882, 706, 201], 'weight': 6, 'seed': 216}",round_3,0.7770833333333332, 0.30000000000000004, 0.3913043478260869,17.775535821914673,0.0001070503214735,0.0006608677509158
"{'denoising_steps': 47, 'guidance_scale': 14, 'positive_prompt': [1162, 1608, 207], 'negative_prompt': [4877, 153, 112], 'weight': 7, 'seed': 352}",round_3,0.7604347826086956, 0.19999999999999996, 0.49999999999999994,17.768340587615967,0.0001069144338648,0.0006595024720459
"{'denoising_steps': 34, 'guidance_scale': 6, 'positive_prompt': [1799, 1633, 71], 'negative_prompt': [4877, 153, 112], 'weight': 10, 'seed': 216}",round_3,0.7560000000000001, 0.0, 0.8999999999999999,17.76383376121521,0.0001062860100287,0.0006584296934102
"{'denoising_steps': 40, 'guidance_scale': 6, 'positive_prompt': [700, 1566, 215], 'negative_prompt': [7820, 836, 19], 'weight': 0, 'seed': 132}",round_3,0.7136, 0.10000000000000003, 0.39130434782608703,17.824557304382324,0.0001062950128137,0.0006624519188496
"{'denoising_steps': 47, 'guidance_scale': 14, 'positive_prompt': [1162, 1608, 207], 'negative_prompt': [7566, 1023, 48], 'weight': 7, 'seed': 352}",round_3,0.7042857142857143, 0.0, 0.5,17.727304458618164,0.0001070286539561,0.0006523255218597
"{'denoising_steps': 47, 'guidance_scale': 14, 'positive_prompt': [1003, 1903, 212], 'negative_prompt': [8784, 454, 112], 'weight': 1, 'seed': 100}",round_3,0.6617391304347826, 0.39999999999999997, 0.30434782608695654,33.13971972465515,0.0001984117531737,0.0012281334825061
"{'denoising_steps': 39, 'guidance_scale': 14, 'positive_prompt': [829, 1500, 76], 'negative_prompt': [4877, 153, 112], 'weight': 7, 'seed': 315}",round_3,0.6438461538461537, 0.5, 0.23913043478260873,33.152740478515625,0.0001983567878519,0.0012284993161317
