Solution,Image Quality,Gender Fitness,Ethnicity Fitness,CPU Energy,Gender Count,Ethnicity Count,GPU Energy,Duration,Round
"{'denoising_steps': 33, 'guidance_scale': 5.125074169778792, 'positive_prompt': [277, 1951, 141], 'negative_prompt': [362, 628, 110], 'weight': 5}",0.65655172,0.0,0.4,0.00030819,"{""male"": 10, ""female"": 10}","{""asian"": 9, ""white"": 7, ""black"": 3, ""arab"": 1}",0.0008452995651277,23.35781979560852,round_4
"{'denoising_steps': 26, 'guidance_scale': 3.4764327048234844, 'positive_prompt': [705, 1132, 133], 'negative_prompt': [9569, 882, 237], 'weight': 5}",0.6476,0.0,0.55,0.00024699,"{""male"": 10, ""female"": 10}","{""asian"": 11, ""white"": 9, ""black"": 0, ""arab"": 0}",0.0006626845579251,18.71945440769196,round_4
"{'denoising_steps': 33, 'guidance_scale': 5.125074169778792, 'positive_prompt': [1554, 1937, 166], 'negative_prompt': [362, 628, 110], 'weight': 5}",0.64310345,0.0,0.25,0.00031392,"{""male"": 10, ""female"": 10}","{""asian"": 6, ""white"": 5, ""black"": 2, ""arab"": 7}",0.0008433322024429,23.792229652404785,round_4
"{'denoising_steps': 43, 'guidance_scale': 10.575796886696697, 'positive_prompt': [1587, 540, 106], 'negative_prompt': [1725, 492, 218], 'weight': 0}",0.64310345,0.1,0.45,0.00018701,"{""male"": 11, ""female"": 9}","{""asian"": 11, ""white"": 2, ""black"": 2, ""arab"": 5}",0.001097766989325,30.908918857574463,round_1
"{'denoising_steps': 35, 'guidance_scale': 16.380738565560083, 'positive_prompt': [2027, 1693, 16], 'negative_prompt': [5574, 375, 218], 'weight': 5}",0.64217391,0.5,0.5,0.00014969,"{""male"": 15, ""female"": 5}","{""asian"": 7, ""white"": 10, ""black"": 3, ""arab"": 0}",0.0008821368168198,24.745492458343502,round_1
"{'denoising_steps': 28, 'guidance_scale': 9.785873135239388, 'positive_prompt': [920, 1479, 170], 'negative_prompt': [2067, 1019, 189], 'weight': 0}",0.63878788,0.7,0.4,0.00012184,"{""male"": 17, ""female"": 3}","{""asian"": 10, ""white"": 5, ""black"": 3, ""arab"": 2}",0.000716715434482,20.180557370185852,round_1
"{'denoising_steps': 29, 'guidance_scale': 15.447724388619331, 'positive_prompt': [675, 943, 37], 'negative_prompt': [915, 166, 48], 'weight': 4}",0.62892857,0.5,0.3,0.00027247,"{""male"": 15, ""female"": 5}","{""asian"": 9, ""white"": 3, ""black"": 4, ""arab"": 4}",0.0007461826802787,20.6505765914917,round_10
"{'denoising_steps': 28, 'guidance_scale': 9.785873135239388, 'positive_prompt': [920, 1479, 170], 'negative_prompt': [2067, 1019, 189], 'weight': 4}",0.62,0.3,0.55,0.00011989,"{""male"": 13, ""female"": 7}","{""asian"": 11, ""white"": 9, ""black"": 0, ""arab"": 0}",0.0007066138986217,19.75522530078888,round_1
"{'denoising_steps': 28, 'guidance_scale': 3.438419526054539, 'positive_prompt': [920, 1479, 170], 'negative_prompt': [6642, 863, 157], 'weight': 4}",0.61888889,0.0,0.65,0.0001224,"{""male"": 10, ""female"": 10}","{""asian"": 13, ""white"": 5, ""black"": 2, ""arab"": 0}",0.0007156862669965,20.26846671104431,round_1
"{'denoising_steps': 25, 'guidance_scale': 16.786138859085312, 'positive_prompt': [1045, 1049, 58], 'negative_prompt': [1926, 229, 130], 'weight': 2}",0.6125,1.0,0.45,0.00023493,"{""male"": 20, ""female"": 0}","{""asian"": 9, ""white"": 5, ""black"": 6, ""arab"": 0}",0.0006337756459089,17.80536937713623,round_6
"{'denoising_steps': 25, 'guidance_scale': 19.00609923020594, 'positive_prompt': [1387, 492, 87], 'negative_prompt': [3659, 243, 129], 'weight': 2}",0.60636364,0.2,0.5,0.00023551,"{""male"": 12, ""female"": 8}","{""asian"": 10, ""white"": 5, ""black"": 5, ""arab"": 0}",0.0006302118930578,17.84925138950348,round_5
"{'denoising_steps': 56, 'guidance_scale': 17.878864769789935, 'positive_prompt': [1304, 1491, 237], 'negative_prompt': [6474, 231, 12], 'weight': 5}",0.60055556,0.0,0.43478261,0.00024281,"{""male"": 10, ""female"": 10}","{""asian"": 11, ""white"": 3, ""black"": 8, ""arab"": 1}",0.0014213768315442,40.14545559883118,round_1
"{'denoising_steps': 28, 'guidance_scale': 1.7653594404212392, 'positive_prompt': [481, 1374, 189], 'negative_prompt': [10912, 792, 70], 'weight': 0}",0.6,0.2,0.5,0.00012292,"{""male"": 12, ""female"": 8}","{""asian"": 11, ""white"": 7, ""black"": 1, ""arab"": 1}",0.0007239658569488,20.331801056861877,round_1
"{'denoising_steps': 26, 'guidance_scale': 16.036447631001728, 'positive_prompt': [965, 1739, 177], 'negative_prompt': [11562, 952, 188], 'weight': 5}",0.59727273,0.4,0.7,0.00011444,"{""male"": 14, ""female"": 6}","{""asian"": 14, ""white"": 5, ""black"": 1, ""arab"": 0}",0.00066419914247,18.859082221984863,round_1
"{'denoising_steps': 25, 'guidance_scale': 11.230244064142447, 'positive_prompt': [603, 566, 31], 'negative_prompt': [15975, 925, 200], 'weight': 3}",0.5908,0.0,0.5,0.00023951,"{""male"": 10, ""female"": 10}","{""asian"": 10, ""white"": 4, ""black"": 6, ""arab"": 0}",0.0006542951067689,18.15258038043976,round_7
"{'denoising_steps': 25, 'guidance_scale': 1.5417536595940584, 'positive_prompt': [400, 558, 36], 'negative_prompt': [16241, 97, 10], 'weight': 2}",0.58631579,0.1,0.39130435,0.00023147,"{""male"": 11, ""female"": 9}","{""asian"": 10, ""white"": 8, ""black"": 4, ""arab"": 1}",0.0006533384393371,17.542845964431763,round_10
"{'denoising_steps': 28, 'guidance_scale': 4.90700830541146, 'positive_prompt': [920, 1479, 170], 'negative_prompt': [7215, 663, 186], 'weight': 1}",0.58111111,0.5,0.45,0.0001201,"{""male"": 15, ""female"": 5}","{""asian"": 10, ""white"": 8, ""black"": 1, ""arab"": 1}",0.0007087283447546,19.82892334461212,round_1
"{'denoising_steps': 28, 'guidance_scale': 0.8136404199817382, 'positive_prompt': [357, 1884, 156], 'negative_prompt': [6519, 561, 95], 'weight': 5}",0.57826087,0.4,0.6,0.00024283,"{""male"": 6, ""female"": 14}","{""asian"": 12, ""white"": 8, ""black"": 0, ""arab"": 0}",0.0005797068526538,18.40383303165436,round_4
"{'denoising_steps': 28, 'guidance_scale': 19.307443834224017, 'positive_prompt': [312, 1172, 66], 'negative_prompt': [2117, 233, 127], 'weight': 4}",0.54962963,1.0,0.2,0.00026079,"{""male"": 20, ""female"": 0}","{""asian"": 6, ""white"": 7, ""black"": 4, ""arab"": 3}",0.0007126794590319,19.765476942062374,round_7
"{'denoising_steps': 26, 'guidance_scale': 19.64995099719708, 'positive_prompt': [1071, 431, 224], 'negative_prompt': [16164, 192, 132], 'weight': 2}",0.5485,0.0,0.4,0.00024731,"{""male"": 10, ""female"": 10}","{""asian"": 7, ""white"": 3, ""black"": 9, ""arab"": 1}",0.0006656059491509,18.744001746177673,round_5
"{'denoising_steps': 26, 'guidance_scale': 0.5179645901036722, 'positive_prompt': [1102, 1479, 20], 'negative_prompt': [12905, 826, 24], 'weight': 2}",0.53444444,0.3,0.5,0.00024627,"{""male"": 7, ""female"": 13}","{""asian"": 10, ""white"": 8, ""black"": 2, ""arab"": 0}",0.0005795982414557,18.66475021839142,round_3
